Author,Year,Country,EffiX,VE_any,VE_severe,VE_hosp,Incomplete VE_1 dose_any RVGE,Incomplete VE_1 dose_Severe RVGE,Incomplete VE_1 dose_hospitalization,Incomplete VE_2 dose_hospitalization,Age range,Any<12mo,Severe<12mo,Hosp <12mo,Any12-24mo,Severe12-24mo,Hosp12-24mo,Any>24mo,Severe>24mo,Hosp>24mo,RV incidence rate_any /100 infant,RV incidence rate_severe /100 infant,RV incidence rate_hospitalization /100 infant,Population density,U5 mortality rate,Crude birth rate,GDP per capita,% of population using safely managed drinking water,% of population using safely managed sanitation,Prevalence of undernourishment,Prevalence of HIV,Gini index,Progression to secondary school(female%),% of population living in extreme poverty (<$2/day),Income share held by lowest 20%,Urban population (% of total)
Vesikari,2010,Finland,1,,,94,,,,,,,,94,,,94.7,,,85.9,,,0.44,17.115,3.9,11,37702.8,94.8,99.1,2.5,NULL,27.9,,0,9.4,82.8
Armah,2010,"Ghana, Kenya, and Mali",1,30.5,39.3,,,,41,,4-12 weeks,49.2,64,,19,19,,,,,11.5,5,,,,,,,,,,,,,,
,,Ghana,1,48.8,56,,,,,,,56.4,65,,19.5,29,,,,,,5.4,,103.6,75.3,32.8,1217,22.5,NULL,8.3,1.9,42.6,97.4,16.4,5.3,49.4
,,Kenya,1,62,63.9,,,,,,,71.5,83,,,-55,,,,,,2.7,,69.9,63.9,36.7,902.1,NULL,NULL,26.9,6,43.6,NULL,41.9,5,22.8
,,Mali,1,17.6,17.6,,,,,,,9.3,100,,19.2,20,,,,,,5.6,,11.6,140.1,47.4,694.3,NULL,12.4,9.5,1.4,38.9,83.2,50.3,8,34.3
Zaman,2010,Bangladesh and Vietnam,1,43,48,,,,,,6-12 weeks, ,51,,,46,,,,,,6.1,,,,,,,,,,,,,,
,,Bangladesh ,1,,43,,,,,,,,45.7,,,39.3,,,,,,8.1,,1108.6,54.5,22.2,635,55.8,NULL,13.7,NULL,32.7,NULL,21.4,8.8,29
,,Vietnam,1,,64,,,,,,,,72.3,,,64.6,,,,,,3.2,,278.1,23.5,17.1,1149.4,NULL,NULL,12.9,0.4,35.6,87,14.1,7.4,29.1
Breiman,2012,"Ghana, Kenya, Mali, Bangladesh and Vietnam",1,33.9,42.5,,,,,,,51.2,58.9,,,,,,,,10.9,5.3,,,,,,,,,,,,,,
,,Ghana,1,33.9,42.5,,,,,,,51.2,58.9,,,,,,,,10.9,5.3,,,,,,,,,,,,,,
,,Kenya,1,33.9,42.5,,,,,,,51.2,58.9,,,,,,,,10.9,5.3,,,,,,,,,,,,,,
,,Mali,1,33.9,42.5,,,,,,,51.2,58.9,,,,,,,,10.9,5.3,,,,,,,,,,,,,,
